,Links
68,https://citycenter.jo/gaming/gaming-gaming-chairs/razer-iskur-v2-gaming-chair-high-density-foam-cushions-epu-leather-4d-armrests-136kg-max-weight-swivels-responds-reactive-seat-tilt-up-to-152-recline-green
69,https://citycenter.jo/gaming/gaming-peripherals/mouse-pad/cooler-master-cm-storm-speed-rx-medium
70,https://citycenter.jo/gaming/gaming-cooling/deepcool-fl12-120mm-case-fans-2150-rpm-fan-speed-55-cfm-fan-airflow-fluid-dynamic-bearing-type-4-pin-pwm-fan-connector-addressable-rgb-led-single-pack-black
71,https://citycenter.jo/computer-hardware-audio/audio-mic/dji-mic-2-1-tx-1-rx-wireless-microphone-with-intelligent-noise-cancelling-32-bit-float-internal-recording-optimized-sound-250m-820-ft-range-microphone-for-iphone-android-camera-vlogs
72,https://citycenter.jo/gaming/gaming-gaming-laptops/asus-v16-gaming-laptop-2025-v3607vm-new-intel-core-7-240h-10-cores-w-nvidia-rtx-5060-8gb-ddr7-ips-144hz-display-matte-black
73,https://citycenter.jo/computer-hardware/components-video-card/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc-edition-128-bit-memory-2602-mhz-boost-clock-28-gbps-memory-speed-4608-cuda-cores
74,https://citycenter.jo/computer-hardware/components-case-and-chassis/mid-tower-case/deepcool-ch560-digital-mid-tower-high-air-flow-w-3x140mm-1x120mm-argb-fans-real-time-dual-status-digital-display-white
75,https://citycenter.jo/gaming/gaming-cooling/cooling-hydro-cooler-all-one/ek-kit-s360-premium-120mm-liquid-cooling-kit
76,https://citycenter.jo/computer-hardware/components-case-and-chassis/mid-tower-case/asus-tuf-gt501-tempered-glass-rgb-pc-gaming-case
77,https://citycenter.jo/computer-hardware-audio/speakers/soundcore-anker-rave-party-2-portable-speaker-120w-stereo-sound-partycast-2-0-light-show-ipx4-water-resistant-16h-playtime-mic-input-custom-eq-bass-up-for-party-tailgating-backyard-pool-black
78,https://citycenter.jo/gaming/graphic-card-gaming/desktop-graphics-cards/msi-ventus-2x-gaming-geforce-rtx-3050-6gb-gdrr6-oc-edition-twin-fans-pci-express-4-0-graphics-card
79,https://citycenter.jo/pc-and-laptops/laptop-accessories-laptop-and-desktop/anker-747-ganprime-150w-max-usb-c-charger-block-4-port-compact-foldable-gan-charger-for-macbook-iphone-16-and-more-series-and-laptop-black
80,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lightweight-laptop/asus-vivobook-s-14-2025-k5406sa-new-intel-core-ultra-7-gen-ii-256v-8-cores-next-gen-ai-w-3k-oled-120hz-display-mist-blue
